256 256
0 0 8
0 1 3
0 2 5
0 3 7
0 4 5
0 5 1
0 6 1
0 7 2
0 8 7
0 9 9
0 10 4
0 11 9
0 12 1
0 13 10
0 14 2
0 15 2
0 16 3
0 17 4
0 18 7
0 19 8
0 20 7
0 21 3
0 22 7
0 23 5
0 24 1
0 25 4
0 26 10
0 27 6
0 28 5
0 29 8
0 30 5
0 31 7
0 32 8
0 33 4
0 34 2
0 35 3
0 36 6
0 37 6
0 38 7
0 39 1
0 40 3
0 41 8
0 42 3
0 43 1
0 44 10
0 45 8
0 46 1
0 47 10
0 48 6
0 49 9
0 50 9
0 51 9
0 52 6
0 53 10
0 54 1
0 55 1
0 56 2
0 57 4
0 58 7
0 59 6
0 60 7
0 61 8
0 62 4
0 63 6
0 64 5
0 65 2
0 66 9
0 67 9
0 68 1
0 69 5
0 70 7
0 71 1
0 72 2
0 73 6
0 74 1
0 75 3
0 76 2
0 77 9
0 78 10
0 79 10
0 80 3
0 81 1
0 82 3
0 83 9
0 84 6
0 85 4
0 86 4
0 87 10
0 88 4
0 89 4
0 90 4
0 91 6
0 92 1
0 93 8
0 94 5
0 95 4
0 96 4
0 97 9
0 98 2
0 99 9
0 100 10
0 101 8
0 102 3
0 103 9
0 104 8
0 105 8
0 106 9
0 107 2
0 108 8
0 109 7
0 110 5
0 111 2
0 112 1
0 113 1
0 114 8
0 115 1
0 116 5
0 117 6
0 118 6
0 119 6
0 120 6
0 121 10
0 122 9
0 123 6
0 124 8
0 125 7
0 126 9
0 127 8
0 128 9
0 129 1
0 130 7
0 131 3
0 132 4
0 133 10
0 134 1
0 135 1
0 136 5
0 137 7
0 138 3
0 139 6
0 140 8
0 141 10
0 142 6
0 143 9
0 144 5
0 145 7
0 146 1
0 147 4
0 148 4
0 149 8
0 150 10
0 151 10
0 152 9
0 153 9
0 154 1
0 155 9
0 156 2
0 157 7
0 158 2
0 159 1
0 160 2
0 161 1
0 162 3
0 163 6
0 164 6
0 165 6
0 166 6
0 167 10
0 168 1
0 169 7
0 170 8
0 171 9
0 172 9
0 173 8
0 174 3
0 175 8
0 176 10
0 177 6
0 178 5
0 179 1
0 180 2
0 181 2
0 182 8
0 183 2
0 184 8
0 185 4
0 186 8
0 187 9
0 188 7
0 189 3
0 190 6
0 191 4
0 192 6
0 193 9
0 194 2
0 195 6
0 196 2
0 197 7
0 198 8
0 199 5
0 200 3
0 201 7
0 202 7
0 203 3
0 204 9
0 205 9
0 206 8
0 207 4
0 208 6
0 209 6
0 210 5
0 211 3
0 212 7
0 213 1
0 214 5
0 215 1
0 216 4
0 217 2
0 218 9
0 219 10
0 220 4
0 221 5
0 222 6
0 223 2
0 224 8
0 225 3
0 226 10
0 227 6
0 228 8
0 229 2
0 230 1
0 231 6
0 232 4
0 233 3
0 234 3
0 235 2
0 236 3
0 237 8
0 238 2
0 239 10
0 240 7
0 241 9
0 242 8
0 243 4
0 244 5
0 245 8
0 246 1
0 247 10
0 248 1
